Platform,Year,Genre,Publisher,Global_Sales,Is_hit
X360,2008.0,Action,Take-Two Interactive,11.02,1
PS,1997.0,Racing,Sony Computer Entertainment,10.95,1
3DS,2011.0,Platform,Nintendo,10.79,1
PS3,2010.0,Racing,Sony Computer Entertainment,10.77,1
PS3,2009.0,Shooter,Activision,10.69,1
PS3,2008.0,Action,Take-Two Interactive,10.57,1
SNES,1993.0,Platform,Nintendo,10.55,1
GBA,2004.0,Role-Playing,Nintendo,10.49,1
DS,2004.0,Platform,Nintendo,10.42,1
Wii,2011.0,Misc,Ubisoft,10.26,1
X360,2013.0,Shooter,Activision,10.21,1
X360,2010.0,Shooter,Microsoft Game Studios,9.88,1
N64,1996.0,Racing,Nintendo,9.87,1
3DS,2012.0,Platform,Nintendo,9.82,1
X360,2012.0,Shooter,Microsoft Game Studios,9.76,1
PS,1997.0,Role-Playing,Sony Computer Entertainment,9.72,1
PS3,2013.0,Shooter,Activision,9.59,1
Wii,2010.0,Misc,Ubisoft,9.52,1
PS,1999.0,Racing,Sony Computer Entertainment,9.49,1
X360,2007.0,Shooter,Activision,9.32,1
SNES,1994.0,Platform,Nintendo,9.3,1
X360,2013.0,Misc,Microsoft Game Studios,9.2,1
3DS,2012.0,Simulation,Nintendo,9.09,1
DS,2007.0,Misc,Nintendo,9.02,1
X360,2011.0,Role-Playing,Bethesda Softworks,8.84,1
SNES,1992.0,Racing,Nintendo,8.76,1
PS4,2015.0,Sports,Electronic Arts,8.49,1
Wii,2010.0,Misc,Nintendo,8.49,1
XB,2004.0,Shooter,Microsoft Game Studios,8.49,1
Wii,2007.0,Misc,Nintendo,8.42,1
DS,2012.0,Role-Playing,Nintendo,8.33,1
PS3,2012.0,Action,Electronic Arts,8.24,1
PC,2009.0,Simulation,Electronic Arts,8.11,1
N64,1997.0,Shooter,Nintendo,8.09,1
Wii,2007.0,Sports,Sega,8.06,1
PS2,2001.0,Role-Playing,Sony Computer Entertainment,8.05,1
PS,1999.0,Role-Playing,SquareSoft,7.86,1
DS,2008.0,Role-Playing,Nintendo,7.84,1
2600,1982.0,Puzzle,Atari,7.81,1
PSP,2005.0,Action,Take-Two Interactive,7.72,1
Wii,2010.0,Platform,Nintendo,7.69,1
PS4,2015.0,Shooter,Electronic Arts,7.67,1
PS4,2014.0,Shooter,Activision,7.6,1
N64,1998.0,Action,Nintendo,7.6,1
PS,1997.0,Platform,Sony Computer Entertainment,7.58,1
NES,1988.0,Platform,Nintendo,7.46,1
3DS,2014.0,Fighting,Nintendo,7.45,1
X360,2008.0,Shooter,Activision,7.37,1
X360,2011.0,Shooter,Electronic Arts,7.34,1
Wii,2006.0,Action,Nintendo,7.31,1
XOne,2015.0,Shooter,Activision,7.3,1
Wii,2009.0,Misc,Ubisoft,7.27,1
PS3,2011.0,Shooter,Electronic Arts,7.23,1
PS2,2003.0,Racing,Electronic Arts,7.2,1
PS,1998.0,Fighting,Sony Computer Entertainment,7.16,1
PS,1998.0,Platform,Sony Computer Entertainment,7.13,1
GC,2001.0,Fighting,Nintendo,7.07,1
WiiU,2014.0,Racing,Nintendo,6.96,1
PS4,2015.0,Role-Playing,Bethesda Softworks,6.96,1
GC,2003.0,Racing,Nintendo,6.95,1
Wii,2012.0,Misc,Ubisoft,6.91,1
PS3,2013.0,Sports,Electronic Arts,6.9,1
PS2,2004.0,Racing,Electronic Arts,6.9,1
PS2,2002.0,Shooter,Electronic Arts,6.83,1
PS3,2011.0,Action,Sony Computer Entertainment,6.83,1
PS,1996.0,Platform,Sony Computer Entertainment,6.82,1
Wii,2010.0,Sports,505 Games,6.81,1
X360,2008.0,Shooter,Microsoft Game Studios,6.76,1
PS3,2009.0,Action,Sony Computer Entertainment,6.73,1
PS3,2007.0,Shooter,Activision,6.72,1
PS3,2011.0,Sports,Electronic Arts,6.69,1
DS,2005.0,Misc,Nintendo,6.67,1
PS3,2010.0,Action,Take-Two Interactive,6.6,1
PS4,2014.0,Sports,Electronic Arts,6.59,1
Wii,2010.0,Platform,Nintendo,6.59,1
PS3,2011.0,Role-Playing,Bethesda Softworks,6.56,1
NES,1986.0,Action,Nintendo,6.51,1
PS3,2012.0,Action,Ubisoft,6.5,1
XB,2001.0,Shooter,Microsoft Game Studios,6.43,1
GBA,2004.0,Role-Playing,Nintendo,6.41,1
PS2,2002.0,Role-Playing,Sony Computer Entertainment,6.4,1
GB,2000.0,Role-Playing,Nintendo,6.39,1
X360,2009.0,Shooter,Microsoft Game Studios,6.36,1
X360,2010.0,Action,Take-Two Interactive,6.34,1
GC,2002.0,Platform,Nintendo,6.31,1
SNES,1992.0,Fighting,Capcom,6.3,1
PC,2004.0,Role-Playing,Activision,6.28,1
PS,1999.0,Action,GT Interactive,6.27,1
X360,2010.0,Sports,Microsoft Game Studios,6.24,1
X360,2011.0,Shooter,Microsoft Game Studios,6.24,1
X360,2006.0,Shooter,Microsoft Game Studios,6.11,1
PS2,2001.0,Action,Konami Digital Entertainment,6.05,1
Other_platform,1992.0,Platform,Sega,6.03,1
PS3,2008.0,Action,Konami Digital Entertainment,6.03,1
PS,1998.0,Action,Konami Digital Entertainment,6.03,1
PS3,2013.0,Action,Sony Computer Entertainment Europe,5.99,1
PS2,2006.0,Role-Playing,Square Enix,5.95,1
PS3,2008.0,Platform,Sony Computer Entertainment,5.92,1
DS,2009.0,Role-Playing,Nintendo,5.84,1
Wii,2007.0,Action,LucasArts,5.83,1
PS,1998.0,Action,Virgin Interactive,5.82,1
PS,1996.0,Fighting,Sony Computer Entertainment,5.74,1
DS,2006.0,Simulation,505 Games,5.72,1
PS4,2014.0,Shooter,Activision,5.65,1
NES,1988.0,Puzzle,Nintendo,5.58,1
PS3,2009.0,Action,Ubisoft,5.57,1
N64,1999.0,Fighting,Nintendo,5.55,1
X360,2007.0,Adventure,Ubisoft,5.55,1
PS3,2011.0,Action,Warner Bros. Interactive Entertainment,5.53,1
X360,2009.0,Racing,Microsoft Game Studios,5.51,1
PSP,2008.0,Role-Playing,Capcom,5.5,1
GBA,2001.0,Platform,Nintendo,5.49,1
GBA,2001.0,Racing,Nintendo,5.47,1
GBA,2001.0,Platform,Nintendo,5.46,1
N64,1999.0,Strategy,Nintendo,5.45,1
PS3,2008.0,Shooter,Activision,5.43,1
PS2,2001.0,Platform,Universal Interactive,5.42,1
PS3,2014.0,Misc,Sony Computer Entertainment,5.42,1
PS3,2009.0,Role-Playing,Square Enix,5.36,1
GB,1989.0,Puzzle,Nintendo,5.34,1
GB,1999.0,Misc,Nintendo,5.31,1
X360,2012.0,Action,Ubisoft,5.3,1
PS,2000.0,Role-Playing,SquareSoft,5.3,1
PS2,2003.0,Role-Playing,Electronic Arts,5.29,1
N64,1999.0,Platform,Nintendo,5.27,1
X360,2009.0,Action,Ubisoft,5.27,1
DS,2007.0,Puzzle,Nintendo,5.26,1
PS,1997.0,Action,Eidos Interactive,5.24,1
PS2,2006.4055613528942,Sports,Electronic Arts,5.23,1
PS2,2004.0,Role-Playing,Square Enix,5.21,1
PC,2012.0,Role-Playing,Activision,5.2,1
GBA,2003.0,Platform,Nintendo,5.2,1
WiiU,2012.0,Platform,Nintendo,5.19,1
GB,1994.0,Platform,Nintendo,5.19,1
X360,2012.0,Action,Electronic Arts,5.18,1
DS,2007.0,Action,Nintendo,5.17,1
SNES,1995.0,Platform,Nintendo,5.15,1
3DS,2013.0,Simulation,Nintendo,5.15,1
DS,2008.0,Sports,Sega,5.14,1
PS2,2003.0,Shooter,Electronic Arts,5.13,1
GB,1992.0,Platform,Nintendo,5.13,0
X360,2010.0,Role-Playing,Microsoft Game Studios,5.13,1
XOne,2014.0,Shooter,Activision,5.13,1
PC,1996.0,Simulation,Microsoft Game Studios,5.12,1
PS2,2006.0,Misc,RedOctane,5.12,1
PS3,2009.0,Action,Capcom,5.11,1
XOne,2014.0,Action,Take-Two Interactive,5.08,1
PSP,2006.0,Action,Take-Two Interactive,5.08,1
PS3,2010.0,Sports,Electronic Arts,5.08,1
GB,1999.0,Platform,Nintendo,5.07,0
PS,1996.0,Action,Virgin Interactive,5.05,1
PS,1999.0,Sports,Activision,5.02,1
WiiU,2014.0,Fighting,Nintendo,5.02,1
PS,1999.0,Strategy,Eidos Interactive,5.01,1
PS,1998.0,Platform,Sony Computer Entertainment,5.0,1
Wii,2007.0,Shooter,Nintendo,5.0,1
PS2,2007.0,Misc,Activision,4.98,1
X360,2008.0,Role-Playing,Bethesda Softworks,4.96,1
DS,2007.0,Role-Playing,Nintendo,4.96,1
PS3,2007.0,Action,Sony Computer Entertainment,4.94,1
PS2,2005.0,Sports,Electronic Arts,4.91,1
DS,2007.0,Action,LucasArts,4.9,1
N64,1997.0,Racing,Nintendo,4.88,1
PSP,2010.0,Role-Playing,Capcom,4.87,1
NES,1990.0,Puzzle,Nintendo,4.85,1
PS3,2010.0,Action,Sony Computer Entertainment,4.84,1
PC,2010.0,Strategy,Activision,4.83,1
PS3,2007.0,Adventure,Ubisoft,4.83,1
PS3,2014.0,Sports,Electronic Arts,4.82,1
PS,1999.0,Racing,Sony Computer Entertainment,4.79,1
PS4,2016.0,Sports,Electronic Arts,4.77,1
X360,2011.0,Action,Warner Bros. Interactive Entertainment,4.76,1
PS,2000.0,Action,Atari,4.73,1
PS2,2003.0,Racing,Vivendi Games,4.7,1
PS,2000.0,Sports,Activision,4.68,1
Wii,2008.0,Simulation,Nintendo,4.68,1
PS2,2002.0,Action,Electronic Arts,4.67,1
X360,2011.0,Racing,Microsoft Game Studios,4.64,1
PS,1996.0,Action,Eidos Interactive,4.63,1
Wii,2007.0,Misc,Activision,4.62,1
SNES,1991.0,Action,Nintendo,4.61,1
GC,2002.0,Action,Nintendo,4.6,1
Wii,2009.0,Sports,Sega,4.58,1
3DS,2013.0,Action,Nintendo,4.58,1
WiiU,2015.0,Shooter,Nintendo,4.57,1
PS4,2014.0,Action,Sony Computer Entertainment,4.55,1
X360,2007.0,Misc,Activision,4.53,1
PS2,2004.0,Sports,Electronic Arts,4.53,1
2600,1981.0,Platform,Activision,4.5,1
PS2,2006.0,Sports,Electronic Arts,4.49,1
PS2,2002.0,Action,Activision,4.48,1
PS,2000.0,Role-Playing,Enix Corporation,4.47,1
PS4,2015.0,Action,Sony Computer Entertainment,4.47,1
PS3,2014.0,Shooter,Activision,4.45,1
PS2,2005.0,Action,Sony Computer Entertainment,4.45,1
WiiU,2012.0,Misc,Nintendo,4.44,1
Wii,2010.0,Misc,Ubisoft,4.42,1
PS2,2001.0,Sports,Activision,4.41,1
PS2,2006.0,Sports,Konami Digital Entertainment,4.39,1
X360,2006.0,Role-Playing,Take-Two Interactive,4.39,1
NES,1987.0,Adventure,Nintendo,4.38,1
PS2,2005.0,Racing,Electronic Arts,4.37,1
PS3,2006.0,Shooter,Sony Computer Entertainment,4.35,1
Other_platform,1991.0,Platform,Sega,4.34,1
PS2,2005.0,Role-Playing,Square Enix,4.33,1
X360,2013.0,Sports,Electronic Arts,4.31,1
X360,2014.0,Shooter,Activision,4.31,1
2600,1980.0,Shooter,Atari,4.31,1
X360,2008.0,Role-Playing,Microsoft Game Studios,4.31,1
XOne,2015.0,Shooter,Microsoft Game Studios,4.26,1
WiiU,2013.0,Platform,Nintendo,4.25,1
PS3,2009.0,Action,Eidos Interactive,4.25,1
PS3,2011.0,Action,Ubisoft,4.24,1
GBA,2001.0,Misc,Namco Bandai Games,4.24,1
PS2,2004.0,Action,Konami Digital Entertainment,4.23,1
PSP,2006.0,Platform,Sony Computer Entertainment,4.22,1
PC,1995.0,Strategy,Activision,4.21,1
3DS,2011.0,Action,Nintendo,4.21,1
PS2,2005.0,Sports,Electronic Arts,4.21,1
PS2,2003.0,Misc,Sony Computer Entertainment,4.2,1
PS4,2016.0,Shooter,Sony Computer Entertainment,4.2,1
PS3,2007.0,Racing,Sony Computer Entertainment,4.2,1
X360,2011.0,Action,Ubisoft,4.19,1
PS3,2009.0,Fighting,Capcom,4.19,1
X360,2011.0,Sports,Electronic Arts,4.19,1
NES,1989.0,Action,Palcom,4.17,1
NES,1984.0,Racing,Nintendo,4.16,1
PS,1997.0,Action,Hasbro Interactive,4.16,1
PS2,2002.0,Sports,Electronic Arts,4.14,1
PS4,2014.0,Action,Ubisoft,4.14,1
PC,1997.0,Shooter,Vivendi Games,4.12,1
SNES,1995.0,Platform,Nintendo,4.12,1
PS2,2006.0,Sports,Electronic Arts,4.11,1
Wii,2011.0,Action,Nintendo,4.1,1
SNES,1992.0,Fighting,Capcom,4.1,1
Wii,2007.0,Misc,Take-Two Interactive,4.1,1
XOne,2015.0,Role-Playing,Bethesda Softworks,4.09,1
PC,2007.0,Role-Playing,Activision,4.09,1
X360,2010.0,Role-Playing,Bethesda Softworks,4.08,1
PS2,2007.0,Action,Sony Computer Entertainment,4.07,1
X360,2007.0,Racing,Microsoft Game Studios,4.06,1
PS2,2005.0,Sports,Konami Digital Entertainment,4.06,1
PS,1996.0,Misc,Sony Computer Entertainment,4.05,1
PS2,2000.0,Fighting,Namco Bandai Games,4.05,1
PS4,2014.0,Shooter,Ubisoft,4.03,1
N64,1997.0,Shooter,Nintendo,4.03,1
PS4,2014.0,Misc,Sony Computer Entertainment Europe,4.02,1
NES,1984.0,Sports,Nintendo,4.01,0
PS3,2008.0,Role-Playing,Bethesda Softworks,4.01,1
DS,2007.0,Puzzle,Nintendo,4.0,1
X360,2009.0,Shooter,Electronic Arts,3.99,1
PS2,2005.0,Misc,Namco Bandai Games,3.98,1
Wii,2009.0,Sports,Electronic Arts,3.92,1
PS4,2014.0,Action,Ubisoft,3.92,1
GB,1994.0,Platform,Nintendo,3.91,0
PS2,2003.0,Sports,Activision,3.9,1
PS3,2013.0,Action,Ubisoft,3.89,1
3DS,2014.0,Role-Playing,Nintendo,3.89,1
PS3,2006.0,Racing,Sony Computer Entertainment,3.88,1
PC,2011.0,Role-Playing,Bethesda Softworks,3.88,1
PS2,2005.0,Fighting,Namco Bandai Games,3.87,1
NES,1988.0,Role-Playing,Enix Corporation,3.87,0
PS3,2010.0,Sports,Sony Computer Entertainment,3.87,1
PS4,2015.0,Sports,Take-Two Interactive,3.85,1
PS2,2004.0,Sports,Konami Digital Entertainment,3.85,1
DS,2007.0,Misc,Nintendo,3.84,1
PS,1995.0,Misc,Sony Computer Entertainment,3.84,1
GB,1992.0,Action,Nintendo,3.83,0
DS,2009.0,Role-Playing,Nintendo,3.83,1
Wii,2007.0,Misc,Nintendo,3.82,1
3DS,2011.0,Simulation,Nintendo,3.81,1
PS4,2015.0,Action,Warner Bros. Interactive Entertainment,3.79,1
Wii,2011.0,Sports,Sega,3.78,1
X360,2008.0,Action,Activision,3.78,1
PS,1996.0,Action,Virgin Interactive,3.77,1
PSP,2007.0,Platform,Sony Computer Entertainment,3.77,1
Wii,2013.0,Misc,Ubisoft,3.76,1
PC,2002.0,Simulation,Electronic Arts,3.76,1
Wii,2007.0,Platform,Nintendo,3.76,1
PS,2001.0,Action,Electronic Arts,3.73,1
PS4,2015.0,Role-Playing,Namco Bandai Games,3.73,1
PS,1999.0,Action,Eidos Interactive,3.72,1
PS,2000.0,Platform,Sony Computer Entertainment,3.71,1
PS2,2004.0,Sports,Electronic Arts,3.7,1
GB,1998.0,Strategy,Nintendo,3.7,0
PS3,2013.0,Shooter,Electronic Arts,3.69,1
DS,2007.0,Simulation,Electronic Arts,3.69,1
DS,2009.0,Misc,Nintendo,3.67,1
PS2,2002.0,Sports,Activision,3.67,1
PSP,2005.0,Racing,Take-Two Interactive,3.66,1
N64,1998.0,Platform,Nintendo,3.65,1
PS2,2002.0,Shooter,Sony Computer Entertainment,3.65,1
Wii,2008.0,Misc,Activision,3.65,1
PS3,2013.0,Racing,Sony Computer Entertainment,3.64,1
PS2,2001.0,Platform,Sony Computer Entertainment,3.64,1
N64,1999.0,Simulation,Nintendo,3.63,1
PS3,2009.0,Sports,Electronic Arts,3.63,1
PS2,2007.0,Sports,Konami Digital Entertainment,3.63,1
PS4,2013.0,Shooter,Activision,3.63,1
PS2,2005.0,Action,Capcom,3.62,1
PS4,2016.0,Shooter,Ubisoft,3.61,1
PS2,2004.0,Shooter,LucasArts,3.61,1
PC,1994.0,Shooter,Virgin Interactive,3.61,1
PS2,2001.0,Racing,Electronic Arts,3.61,1
DS,2007.0,Simulation,505 Games,3.61,1
GC,2001.0,Action,Nintendo,3.6,1
PS2,2005.0,Shooter,LucasArts,3.59,1
PS,2000.0,Fighting,THQ,3.58,1
PS,1997.0,Platform,Fox Interactive,3.56,1
PS2,2006.0,Action,Take-Two Interactive,3.54,1
PS2,2002.0,Action,Sony Computer Entertainment,3.54,1
PS,1997.0,Action,Eidos Interactive,3.54,1
PS2,2001.0,Shooter,Electronic Arts,3.53,1
PS2,2005.0,Action,Eidos Interactive,3.53,1
X360,2013.0,Shooter,Electronic Arts,3.53,1
X360,2010.0,Sports,Electronic Arts,3.53,1
PS,2000.0,Action,THQ,3.52,1
PS,1999.0,Platform,Sony Computer Entertainment,3.52,1
X360,2008.0,Shooter,Electronic Arts,3.52,1
DS,2009.0,Sports,Sega,3.52,1
X360,2009.0,Action,Capcom,3.51,1
SNES,1996.0,Platform,Nintendo,3.51,1
X360,2010.0,Action,Ubisoft,3.5,1
NES,1985.0,Action,Nintendo,3.5,0
X360,2009.0,Action,Eidos Interactive,3.5,1
DS,2006.0,Misc,Nintendo,3.5,1
PS2,2006.4055613528942,Sports,Electronic Arts,3.49,1
XOne,2015.0,Shooter,Electronic Arts,3.49,1
X360,2010.0,Shooter,Electronic Arts,3.48,1
DS,2008.0,Misc,Activision,3.48,1
XOne,2014.0,Action,Ubisoft,3.46,1
PS3,2012.0,Shooter,Ubisoft,3.45,1
3DS,2013.0,Role-Playing,Capcom,3.44,1
X360,2009.0,Shooter,Take-Two Interactive,3.44,1
PS2,2002.0,Fighting,Namco Bandai Games,3.44,1
PS4,2013.0,Shooter,Electronic Arts,3.43,1
PS3,2011.0,Platform,Sony Computer Entertainment,3.42,1
PS,1998.0,Action,Take-Two Interactive,3.42,1
SNES,1994.0,Role-Playing,SquareSoft,3.42,1
PS2,2004.0,Action,Activision,3.41,1
GB,1990.0,Racing,Nintendo,3.41,0
PS2,2002.0,Sports,Electronic Arts,3.4,1
PS,2000.0,Misc,Sony Computer Entertainment,3.39,1
X360,2008.0,Action,Warner Bros. Interactive Entertainment,3.38,1
PS4,2015.0,Action,Konami Digital Entertainment,3.38,1
DS,2009.0,Action,Nintendo,3.38,1
PS,1998.0,Fighting,Acclaim Entertainment,3.36,1
N64,2000.0,Action,Nintendo,3.36,1
DS,2008.0,Puzzle,Nintendo,3.36,1
PS,1998.0,Adventure,THQ,3.34,1
X360,2013.0,Action,Ubisoft,3.34,1
DS,2006.0,Misc,Nintendo,3.33,1
PS2,2002.0,Shooter,Electronic Arts,3.33,1
PS2,2002.0,Platform,Sony Computer Entertainment,3.33,1
Wii,2012.0,Misc,Nintendo,3.32,1
PS2,2005.0,Action,LucasArts,3.32,1
PS2,2001.0,Shooter,Take-Two Interactive,3.31,1
PS2,2003.0,Action,Electronic Arts,3.28,1
PS4,2015.0,Action,Ubisoft,3.28,1
XOne,2014.0,Shooter,Activision,3.28,1
PS2,2003.0,Action,Activision,3.27,1
Wii,2008.0,Misc,Nintendo,3.27,1
PSP,2009.0,Racing,Sony Computer Entertainment,3.27,1
3DS,2015.0,Action,Capcom,3.26,1
PS,1995.0,Fighting,Sony Computer Entertainment,3.24,1
XOne,2015.0,Sports,Electronic Arts,3.23,1
PS3,2011.0,Adventure,Take-Two Interactive,3.23,1
PS4,2015.0,Sports,Electronic Arts,3.22,1
3DS,2014.0,Role-Playing,Nintendo,3.22,1
PS,1999.0,Shooter,Electronic Arts,3.21,1
NES,1983.0,Sports,Nintendo,3.2,0
SNES,1995.0,Fighting,Nintendo,3.2,1
PS,2000.0,Fighting,THQ,3.2,1
PSP,2007.0,Role-Playing,Square Enix,3.19,1
PSP,2008.0,Action,Sony Computer Entertainment,3.19,1
SNES,1995.0,Role-Playing,Enix Corporation,3.19,1
X360,2010.0,Misc,MTV Games,3.19,1
PS2,2003.0,Action,Atari,3.18,1
WiiU,2015.0,Platform,Nintendo,3.18,1
PS3,2010.0,Role-Playing,Bethesda Softworks,3.17,1
Wii,2006.4055613528942,Action,Warner Bros. Interactive Entertainment,3.17,1
DS,2008.0,Misc,Nintendo,3.17,1
PS2,2001.0,Simulation,Sony Computer Entertainment Europe,3.17,1
DS,2008.0,Adventure,Disney Interactive Studios,3.16,1
GC,2001.0,Simulation,Nintendo,3.15,1
DS,2008.0,Action,Warner Bros. Interactive Entertainment,3.15,1
DS,2005.0,Platform,Sega,3.15,1
PS3,2012.0,Shooter,Capcom,3.15,1
XOne,2014.0,Shooter,Microsoft Game Studios,3.15,1
PS2,2007.0,Sports,Electronic Arts,3.14,1
PS,2000.0,Action,Activision,3.13,1
PS,1998.0,Racing,Electronic Arts,3.12,1
N64,1999.0,Racing,Nintendo,3.12,1
DS,2006.0,Misc,Nintendo,3.12,1
PS3,2007.0,Role-Playing,Ubisoft,3.12,1
NES,1990.0,Role-Playing,Enix Corporation,3.12,0
PS3,2010.0,Adventure,Sony Computer Entertainment,3.12,1
X360,2010.0,Role-Playing,Electronic Arts,3.11,1
X360,2014.0,Sports,Electronic Arts,3.11,1
PS2,2002.0,Fighting,Atari,3.09,1
PS2,2001.0,Sports,Electronic Arts,3.08,1
NES,1986.0,Sports,Namco Bandai Games,3.08,0
X360,2012.0,Shooter,Take-Two Interactive,3.07,1
3DS,2013.0,Action,Nintendo,3.07,1
GB,1994.0,Platform,Nintendo,3.07,0
PC,2002.0,Simulation,Electronic Arts,3.07,1
X360,2012.0,Role-Playing,Electronic Arts,3.07,1
X360,2008.0,Action,Activision,3.05,1
X360,2012.0,Shooter,Ubisoft,3.04,1
Wii,2010.0,Platform,Disney Interactive Studios,3.04,1
X360,2008.0,Action,THQ,3.03,1
PS,1995.0,Platform,Ubisoft,3.03,1
PS3,2009.0,Shooter,Sony Computer Entertainment,3.02,1
XB,2002.0,Action,Ubisoft,3.02,1
NES,1987.0,Fighting,Nintendo,3.02,0
PS2,2002.0,Sports,THQ,3.02,1
XOne,2015.0,Shooter,Microsoft Game Studios,3.0,1
X360,2012.0,Sports,Take-Two Interactive,3.0,1
PS2,2007.0,Fighting,Atari,3.0,1
PS4,2014.0,Action,Warner Bros. Interactive Entertainment,2.99,1
SNES,1993.0,Shooter,Nintendo,2.99,1
PC,2000.0,Misc,Electronic Arts,2.99,1
PS2,2002.0,Sports,Konami Digital Entertainment,2.99,1
PS2,2001.0,Action,Capcom,2.99,1
3DS,2015.0,Simulation,Nintendo,2.98,1
PS3,2010.0,Shooter,Electronic Arts,2.97,1
PC,2014.0,Simulation,Electronic Arts,2.97,1
PC,2011.0,Role-Playing,Electronic Arts,2.97,1
PS2,2003.0,Platform,Sega,2.96,1
DS,2008.0,Platform,Nintendo,2.96,1
PS2,2002.0,Action,Eidos Interactive,2.96,1
X360,2009.0,Fighting,Capcom,2.95,1
N64,1996.0,Racing,Nintendo,2.94,1
PS2,2003.0,Shooter,Sony Computer Entertainment,2.94,1
PS2,2005.0,Fighting,THQ,2.94,1
PS3,2009.0,Action,Sony Computer Entertainment,2.94,1
GBA,2001.0,Puzzle,Atari,2.94,1
X360,2007.0,Role-Playing,Microsoft Game Studios,2.93,1
Wii,2006.0,Puzzle,Nintendo,2.92,1
Wii,2007.0,Simulation,505 Games,2.91,1
GBA,2002.0,Platform,Nintendo,2.91,1
PS4,2013.0,Sports,Electronic Arts,2.9,1
XOne,2014.0,Shooter,Electronic Arts,2.9,1
PS2,2004.0,Misc,Sega,2.9,1
X360,2008.0,Sports,Sega,2.9,1
PS2,2003.0,Sports,Konami Digital Entertainment,2.9,1
PS3,2012.0,Racing,Electronic Arts,2.89,1
PS2,2001.0,Sports,Sony Computer Entertainment,2.89,1
PS2,2004.0,Shooter,Activision,2.89,1
Wii,2011.0,Sports,Majesco Entertainment,2.88,1
PS,1999.0,Shooter,Sony Computer Entertainment,2.88,1
DS,2007.0,Simulation,Ubisoft,2.88,1
PS,1998.0,Racing,Codemasters,2.87,1
XOne,2013.0,Shooter,Activision,2.86,1
X360,2012.0,Sports,Electronic Arts,2.86,1
XB,2002.0,Role-Playing,Ubisoft,2.86,1
PS3,2011.0,Fighting,Warner Bros. Interactive Entertainment,2.85,1
SNES,1990.0,Racing,Nintendo,2.85,1
N64,1997.0,Platform,Nintendo,2.85,1
PC,1996.0,Strategy,Virgin Interactive,2.85,1
Wii,2011.0,Action,Activision,2.85,1
PS3,2015.0,Sports,Electronic Arts,2.85,1
PS3,2010.0,Action,Ubisoft,2.84,1
X360,2007.0,Shooter,Take-Two Interactive,2.83,1
X360,2009.0,Sports,Electronic Arts,2.83,1
PS3,2010.0,Shooter,Electronic Arts,2.83,1
PS2,2002.0,Fighting,THQ,2.83,1
GC,2002.0,Shooter,Nintendo,2.82,1
GBA,2003.0,Action,THQ,2.82,1
PC,1994.0,Adventure,Red Orb,2.81,1
PS3,2010.0,Racing,Electronic Arts,2.81,1
